"Step","alpha_trainable_True_init_1.0_seed_5 - Test Accuracy","alpha_trainable_True_init_1.0_seed_5 - Test Accuracy__MIN","alpha_trainable_True_init_1.0_seed_5 - Test Accuracy__MAX","alpha_trainable_False_init_1.0_seed_5 - Test Accuracy","alpha_trainable_False_init_1.0_seed_5 - Test Accuracy__MIN","alpha_trainable_False_init_1.0_seed_5 - Test Accuracy__MAX"
"0","0.3470301057770545","0.3470301057770545","0.3470301057770545","0.3470301057770545","0.3470301057770545","0.3470301057770545"
"200","0.7386086248982913","0.7386086248982913","0.7386086248982913","0.6806346623270952","0.6806346623270952","0.6806346623270952"
"400","0.7645443449959316","0.7645443449959316","0.7645443449959316","0.7588486574450773","0.7588486574450773","0.7588486574450773"
"600","0.7929210740439382","0.7929210740439382","0.7929210740439382","0.7722742066720911","0.7722742066720911","0.7722742066720911"
"800","0.7974979658258747","0.7974979658258747","0.7974979658258747","0.7878356387306753","0.7878356387306753","0.7878356387306753"
"1000","0.8121440195280716","0.8121440195280716","0.8121440195280716","0.8020748576078113","0.8020748576078113","0.8020748576078113"
"1200","0.8000406834825061","0.8000406834825061","0.8000406834825061","0.7928193653376729","0.7928193653376729","0.7928193653376729"
"1400","0.8098047192839707","0.8098047192839707","0.8098047192839707","0.8036004882017901","0.8036004882017901","0.8036004882017901"
"1600","0.8133645240032547","0.8133645240032547","0.8133645240032547","0.8104149715215623","0.8104149715215623","0.8104149715215623"
"1800","0.8172294548413345","0.8172294548413345","0.8172294548413345","0.8104149715215623","0.8104149715215623","0.8104149715215623"
"2000","0.8199755899104963","0.8199755899104963","0.8199755899104963","0.8104149715215623","0.8104149715215623","0.8104149715215623"
"2200","0.810720097640358","0.810720097640358","0.810720097640358","0.8128559804719284","0.8128559804719284","0.8128559804719284"
"2400","0.8221114727420668","0.8221114727420668","0.8221114727420668","0.8206875508543532","0.8206875508543532","0.8206875508543532"
"2600","0.8233319772172498","0.8233319772172498","0.8233319772172498","0.8233319772172498","0.8233319772172498","0.8233319772172498"
"2800","0.8290276647681042","0.8290276647681042","0.8290276647681042","0.8251627339300244","0.8251627339300244","0.8251627339300244"
"3000","0.8271969080553295","0.8271969080553295","0.8271969080553295","0.8291293734743694","0.8291293734743694","0.8291293734743694"
"3200","0.8263832384052074","0.8263832384052074","0.8263832384052074","0.8307567127746135","0.8307567127746135","0.8307567127746135"
"3400","0.8282139951179821","0.8282139951179821","0.8282139951179821","0.8228234336859235","0.8228234336859235","0.8228234336859235"
"3600","0.8275020341741253","0.8275020341741253","0.8275020341741253","0.8223148901545972","0.8223148901545972","0.8223148901545972"
"3800","0.8320789259560618","0.8320789259560618","0.8320789259560618","0.8322823433685923","0.8322823433685923","0.8322823433685923"
"4000","0.8334011391375101","0.8334011391375101","0.8334011391375101","0.8352318958502848","0.8352318958502848","0.8352318958502848"
"4200","0.8319772172497966","0.8319772172497966","0.8319772172497966","0.8300447518307568","0.8300447518307568","0.8300447518307568"
"4400","0.8300447518307568","0.8300447518307568","0.8300447518307568","0.8313669650122051","0.8313669650122051","0.8313669650122051"
"4600","0.8340113913751017","0.8340113913751017","0.8340113913751017","0.8266883645240033","0.8266883645240033","0.8266883645240033"
"4800","0.8318755085435313","0.8318755085435313","0.8318755085435313","0.8325874694873882","0.8325874694873882","0.8325874694873882"
