,beta,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
"('book', 'dvd')",0.8,2.42,60.93,0.49,76.43,0.06,77.92,0.1
"('book', 'elec')",0.71,1.7,65.07,1.02,76.15,0.4,76.89,0.08
"('book', 'kitchen')",0.79,1.9,65.66,1.11,78.31,0.12,78.93,0.24
"('dvd', 'book')",0.78,2.42,59.98,0.1,75.84,0.07,77.98,0.17
"('dvd', 'elec')",0.71,1.71,65.07,1.02,75.84,0.35,76.49,0.21
"('dvd', 'kitchen')",0.78,1.88,65.66,1.11,77.99,0.27,78.56,0.28
"('elec', 'book')",0.51,1.7,59.98,0.1,72.0,0.14,73.37,0.19
"('elec', 'dvd')",0.52,1.71,60.93,0.49,72.36,0.19,73.49,0.23
"('elec', 'kitchen')",0.9,2.21,65.66,1.11,82.32,0.31,83.5,0.11
"('kitchen', 'book')",0.52,1.86,59.98,0.1,73.01,0.17,74.45,0.25
"('kitchen', 'dvd')",0.53,1.84,60.93,0.49,73.19,0.19,74.22,0.12
"('kitchen', 'elec')",0.83,2.24,65.07,1.02,80.66,0.24,82.35,0.11
